date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:00	120725/120725	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:40%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/Miso-with-shiso.jpg?v=1657985875	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/Miso-with-shiso914d.jpg	(from https://shoppu.mochi.at/produkte/p/miso-with-shiso-150g)
13:20:01	177703/177703	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:11:10%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/Kewpie.jpg?v=1669967592	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/Kewpie4e51.jpg	(from https://shoppu.mochi.at/produkte/p/qp-mayonnaise)
13:20:01	195066/195066	---MCZ	200	added ('OK')	text/html	etag:%222f9fa-gzceGu5zVEAsZ3qLUyd94ASxYJs%22	https://shoppu.mochi.at/produkte/p/kinder-bowl-sakana	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/p/kinder-bowl-sakana.html	(from https://shoppu.mochi.at/produkte/p/qp-mayonnaise)
13:20:02	104440/104440	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:15:10%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/hon-mirin-authentic.jpg?v=1703668849	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/hon-mirin-authenticd7d9.jpg	(from https://shoppu.mochi.at/produkte/p/hn-mirini-500ml-14-vol)
13:20:02	101896/101896	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Dec%202025%2008:56:18%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/fc1b16194fa5f57eeb4b70622a3b724f_7167b702-43a9-4e16-a12b-e618f3c60e26.jpg?v=1666185372	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/fc1b16194fa5f57eeb4b70622a3b724f_7167b702-43a9-4e16-a12b-e618f3c60e26951e.jpg	(from https://shoppu.mochi.at/produkte/p/dashi-kombu-soy-sauce-500ml)
13:20:02	139623/139623	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:42%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/fc1b16194fa5f57eeb4b70622a3b724f.jpg?v=1659704753	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/fc1b16194fa5f57eeb4b70622a3b724f7a00.jpg	(from https://shoppu.mochi.at/produkte/p/soja-sauce-premium-ohitachi)
13:20:02	76690/76690	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:15:23%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/Yuzu-Pepper.jpg?v=1703669068	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/Yuzu-Pepper6a64.jpg	(from https://shoppu.mochi.at/produkte/p/yuzu-kosho-50g)
13:20:03	189306/189306	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:43%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/12..jpg?v=1733325125	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/12.76a6.jpg	(from https://shoppu.mochi.at/produkte/p/schale-blau-weiss-1)
13:20:03	110695/110695	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:45%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/Sushiset-graublau.jpg?v=1733406639	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/Sushiset-graublaua233.jpg	(from https://shoppu.mochi.at/produkte/p/sushi-set-grau-blau)
13:20:03	71991/71991	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:15:39%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/sesame-oil-KUKI.jpg?v=1701867303	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/sesame-oil-KUKI995a.jpg	(from https://shoppu.mochi.at/produkte/p/sesam-ol-170-ml)
13:20:03	180461/180461	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:46%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/Sushiset-Fisch..jpg?v=1733405266	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/Sushiset-Fisch.bb4a.jpg	(from https://shoppu.mochi.at/produkte/p/sushi-set-fur-2-personen-sakana)
13:20:04	178069/178069	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:47%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/Tempura-Batter-Mix.jpg?v=1701867353	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/Tempura-Batter-Mixa573.jpg	(from https://shoppu.mochi.at/produkte/p/tempura-teig-mix)
13:20:04	122120/122120	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:49%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/roasted-sesame-wasabi-flavor.jpg?v=1657897136	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/roasted-sesame-wasabi-flavor4a2b.jpg	(from https://shoppu.mochi.at/produkte/p/roasted-sesame-flavor-80g)
13:20:04	134803/134803	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:50%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/Yuzu-Sesam.jpg?v=1668780814	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/Yuzu-Sesame0e3.jpg	(from https://shoppu.mochi.at/produkte/p/roasted-sesame-with-yuzu)
13:20:06	72317/72317	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:10%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/Kinder-Schale-Fisch...jpg?v=1701086666	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/Kinder-Schale-Fisch..0a61.jpg	(from https://shoppu.mochi.at/produkte/p/kinder-bowl-sakana)
13:20:06	194408/194408	---MCZ	200	added ('OK')	text/html	etag:%222f768-AXRSqVSoMSv4R/4NYxUbwTwRwOw%22	https://shoppu.mochi.at/produkte/p/chili-paste-hot	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/p/chili-paste-hot.html	(from https://shoppu.mochi.at/produkte/)
13:20:07	84253/84253	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:10:39%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/chilli.jpg?v=1658584353	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/chilli86a4.jpg	(from https://shoppu.mochi.at/produkte/p/chili-paste-hot)
